"RESPOSTA","GRUPO
V","GRUPO 
K","GRUPO 
Q","GRUPO 
X","GRUPO 
Z"
"A","46","71","56","86","30"
"E","47","72","57","87","31"
"D","48","73","58","88","32"
"D","49","74","59","89","33"
"C","50","75","60","90","34"
"B","51","81","20","71","35"
"A","52","82","21","72","36"
"D","53","83","22","73","37"
"A","54","84","23","74","38"
"E","55","85","24","75","39"
"C","56","86","25","76","40"
"C","57","87","26","77","41"
"B","58","88","27","78","42"
"D","59","89","28","79","43"
"E","60","90","29","80","44"
"A","61","20","71","30","45"
"E","62","21","72","31","46"
"E","63","22","73","32","47"
"D","64","23","74","33","48"
"C","65","24","75","34","49"
"C","66","25","76","35","50"
"D","67","26","77","36","51"
"B","68","27","78","37","52"
"B","69","28","79","38","53"
"A","70","29","80","39","54"
"E","71","30","81","40","55"
"A","72","31","82","41","56"
"D","73","32","83","42","57"
"E","74","33","84","43","58"
"B","75","34","85","44","59"
"D","76","35","86","45","60"
"C","77","36","87","46","61"
"B","78","37","88","47","62"
"A","79","38","89","48","63"
"D","80","39","90","49","64"
"E","81","40","61","20","65"
"A","82","41","62","21","66"
"B","83","42","63","22","67"
"D","84","43","64","23","68"
"A","85","44","65","24","69"
"B","86","45","66","25","70"
"C","87","46","67","26","71"
"E","88","47","68","27","72"
"D","89","48","69","28","73"
"C","90","49","70","29","74"
