"","ESPOSTA  GRUPO 
V","GRUPO 
K","GRUPO 
Q","GRUPO 
X","GRUPO 
Z"
"C","01","01","01","01","01"
"A","02","02","02","02","02"
"B","03","03","03","03","03"
"D","04","04","04","04","04"
"A","05","05","05","05","05"
"E","06","06","06","06","06"
"E","07","07","07","07","07"
"B","08","08","08","08","08"
"D","09","09","09","09","09"
"E","10","10","10","10","10"
"D","11","11","11","11","11"
"C","12","12","12","12","12"
"B","13","13","13","13","13"
"A","14","14","14","14","14"
"D","15","15","15","15","15"
"E","16","16","16","16","16"
"C","17","17","17","17","17"
"B","18","18","18","18","18"
"A","19","19","19","19","19"
"E","20","50","35","55","75"
"C","21","51","36","56","76"
"B","22","52","37","57","77"
"B","23","53","38","58","78"
"C","24","54","39","59","79"
"D","25","55","40","60","80"
"A","26","56","41","61","81"
"E","27","57","42","62","82"
"D","28","58","43","63","83"
"B","29","59","44","64","84"
"D","30","60","45","65","85"
"E","31","61","46","66","86"
"A","32","62","47","67","87"
"C","33","63","48","68","88"
"B","34","64","49","69","89"
"A","35","65","50","70","90"
"D","36","76","30","50","20"
"B","37","77","31","51","21"
"C","38","78","32","52","22"
"A","39","79","33","53","23"
"E","40","80","34","54","24"
"B","41","66","51","81","25"
"E","42","67","52","82","26"
"A","43","68","53","83","27"
"C","44","69","54","84","28"
"B","45","70","55","85","29"
