"Prova K","","","",""
"1","E","","46","C"
"2","A","","47","D"
"3","B","","48","E"
"4","C","","49","A"
"5","C","","50","A"
"6","C","","51","D"
"7","A","","52","D"
"8","B","","53","A"
"9","D","","54","D"
"10","C","","55","C"
"11","D","","56","B"
"12","D","","57","C"
"13","D","","58","D"
"14","E","","59","B"
"15","B","","60","C"
"16","E","","61","E"
"17","E","","62","A"
"18","B","","63","A"
"19","A","","64","D"
"20","C","","65","D"
"21","C","","66","B"
"22","D","","67","E"
"23","A","","68","E"
"24","D","","69","A"
"25","B","","70","C"
"26","E","","71","C"
"27","D","","72","B"
"28","A","","73","B"
"29","C","","74","A"
"30","C","","75","E"
"31","D","","76","B"
"32","A","","77","E"
"33","C","","78","B"
"34","D","","79","C"
"35","E","","80","C"
"36","E","","81","A"
"37","A","","82","E"
"38","C","","83","B"
"39","E","","84","C"
"40","A","","85","A"
"41","B","","86","D"
"42","B","","87","B"
"43","C","","88","A"
"44","C","","89","B"
"45","D","","90","C"
