"Prova Z","","","",""
"1","C","","46","B"
"2","A","","47","E"
"3","D","","48","A"
"4","E","","49","E"
"5","B","","50","D"
"6","B","","51","D"
"7","B","","52","C"
"8","A","","53","D"
"9","A","","54","C"
"10","C","","55","A"
"11","C","","56","C"
"12","B","","57","C"
"13","B","","58","A"
"14","A","","59","B"
"15","E","","60","A"
"16","C","","61","D"
"17","E","","62","D"
"18","B","","63","E"
"19","D","","64","A"
"20","E","","65","D"
"21","B","","66","A"
"22","C","","67","A"
"23","B","","68","D"
"24","C","","69","C"
"25","C","","70","E"
"26","A","","71","D"
"27","E","","72","D"
"28","D","","73","C"
"29","E","","74","B"
"30","A","","75","A"
"31","C","","76","C"
"32","A","","77","E"
"33","B","","78","A"
"34","B","","79","D"
"35","E","","80","D"
"36","A","","81","D"
"37","C","","82","B"
"38","C","","83","E"
"39","D","","84","E"
"40","C","","85","A"
"41","D","","86","B"
"42","E","","87","C"
"43","B","","88","C"
"44","C","","89","C"
"45","D","","90","B"
