"PROVA K","","","",""
"1","E","","46","B"
"2","E","","47","B"
"3","B","","48","B"
"4","A","","49","B"
"5","A","","50","A"
"6","B","","51","A"
"7","C","","52","C"
"8","D","","53","B"
"9","E","","54","E"
"10","A","","55","C"
"11","A","","56","A"
"12","B","","57","D"
"13","C","","58","E"
"14","B","","59","B"
"15","D","","60","B"
"16","B","","61","E"
"17","E","","62","B"
"18","E","","63","E"
"19","A","","64","D"
"20","A","","65","C"
"21","E","","66","D"
"22","D","","67","B"
"23","C","","68","C"
"24","E","","69","E"
"25","A","","70","A"
"26","C","","71","A"
"27","D","","72","C"
"28","C","","73","C"
"29","A","","74","B"
"30","D","","75","B"
"31","C","","76","C"
"32","B","","77","E"
"33","B","","78","C"
"34","B","","79","A"
"35","D","","80","C"
"36","E","","81","A"
"37","B","","82","C"
"38","B","","83","E"
"39","B","","84","A"
"40","E","","85","C"
"41","A","","86","D"
"42","C","","87","B"
"43","C","","88","E"
"44","E","","89","D"
"45","D","","90","B"
