"PROVA Q","","","",""
"1","A","","46","C"
"2","C","","47","D"
"3","D","","48","E"
"4","B","","49","B"
"5","C","","50","D"
"6","D","","51","C"
"7","*","","52","C"
"8","D","","53","A"
"9","D","","54","E"
"10","D","","55","D"
"11","B","","56","B"
"12","B","","57","B"
"13","C","","58","B"
"14","D","","59","E"
"15","A","","60","A"
"16","B","","61","D"
"17","C","","62","E"
"18","D","","63","C"
"19","E","","64","A"
"20","A","","65","A"
"21","E","","66","C"
"22","E","","67","D"
"23","E","","68","C"
"24","C","","69","D"
"25","B","","70","C"
"26","A","","71","B"
"27","A","","72","E"
"28","A","","73","A"
"29","D","","74","B"
"30","E","","75","D"
"31","C","","76","E"
"32","B","","77","C"
"33","D","","78","C"
"34","E","","79","A"
"35","E","","80","C"
"36","C","","81","C"
"37","A","","82","A"
"38","D","","83","A"
"39","C","","84","C"
"40","A","","85","D"
"41","B","","86","A"
"42","A","","87","A"
"43","B","","88","B"
"44","D","","89","A"
"45","E","","90","D"
