"PROVA Z","","","",""
"1","B","","46","B"
"2","B","","47","B"
"3","C","","48","B"
"4","D","","49","A"
"5","E","","50","C"
"6","D","","51","C"
"7","B","","52","D"
"8","A","","53","B"
"9","D","","54","E"
"10","A","","55","A"
"11","A","","56","E"
"12","E","","57","B"
"13","D","","58","C"
"14","E","","59","D"
"15","C","","60","C"
"16","E","","61","A"
"17","C","","62","D"
"18","D","","63","E"
"19","B","","64","C"
"20","D","","65","E"
"21","C","","66","A"
"22","E","","67","D"
"23","A","","68","E"
"24","C","","69","E"
"25","D","","70","A"
"26","C","","71","D"
"27","D","","72","A"
"28","A","","73","D"
"29","B","","74","B"
"30","A","","75","C"
"31","B","","76","C"
"32","E","","77","A"
"33","B","","78","A"
"34","C","","79","C"
"35","C","","80","E"
"36","D","","81","E"
"37","C","","82","C"
"38","C","","83","D"
"39","D","","84","D"
"40","A","","85","C"
"41","A","","86","D"
"42","A","","87","D"
"43","A","","88","*"
"44","A","","89","B"
"45","B","","90","A"
