"PROVA X","","","",""
"1","A","","46","A"
"2","C","","47","D"
"3","D","","48","E"
"4","A","","49","C"
"5","C","","50","B"
"6","C","","51","A"
"7","A","","52","E"
"8","A","","53","A"
"9","A","","54","D"
"10","E","","55","C"
"11","A","","56","C"
"12","E","","57","E"
"13","E","","58","D"
"14","C","","59","B"
"15","B","","60","B"
"16","D","","61","A"
"17","E","","62","C"
"18","D","","63","C"
"19","A","","64","D"
"20","A","","65","D"
"21","C","","66","E"
"22","C","","67","A"
"23","D","","68","E"
"24","A","","69","B"
"25","D","","70","C"
"26","B","","71","B"
"27","D","","72","E"
"28","A","","73","B"
"29","A","","74","C"
"30","B","","75","E"
"31","B","","76","D"
"32","C","","77","C"
"33","E","","78","A"
"34","B","","79","B"
"35","D","","80","A"
"36","D","","81","B"
"37","D","","82","A"
"38","*","","83","E"
"39","D","","84","B"
"40","B","","85","D"
"41","C","","86","C"
"42","D","","87","E"
"43","C","","88","C"
"44","A","","89","D"
"45","D","","90","C"
